date,open,high,low,close,volume
5/1/20,285.31,290.6572,281.52,282.79,125.18M
4/30/20,291.71,293.3239,288.59,290.48,122.902M
4/29/20,291.53,294.88,290.41,293.21,118.746M
4/28/20,291.02,291.4,285.4,285.73,105.27M
4/27/20,285.12,288.27,284.62,287.05,77.897M
4/24/20,280.73,283.7,278.5,282.97,85.166M
4/23/20,280.49,283.94,278.75,279.08,104.71M
4/22/20,278.35,281,276.91,279.1,93.525M
4/21/20,276.73,278.04,272.02,273.04,126.386M
4/20/20,282.61,286.7912,281.35,281.59,100.109M
4/17/20,285.38,287.3,282.4,286.64,146.685M
4/16/20,279.15,280.03,275.76,279.1,131.798M
4/15/20,277.57,283.9407,275.46,277.76,121.775M
4/14/20,280.98,284.9,275.5106,283.79,134.143M
4/13/20,277.14,277.51,271.41,275.66,114.839M
4/9/20,277.58,281.2,275.47,278.2,190.283M
4/8/20,267.96,276,265.2542,274.03,153.774M
4/7/20,274.21,275.03,264.89,265.13,201.427M
4/6/20,257.84,267,248.1698,264.86,188.061M
4/3/20,250.76,253.32,245.22,248.19,135.561M
4/2/20,245.19,252.68,244.59,251.83,177.66M
4/1/20,247.98,257.6591,243.9,246.15,189.555M
3/31/20,260.56,263.33,256.22,257.75,194.881M
3/30/20,255.7,262.43,253.53,261.65,170.962M
3/27/20,253.27,260.81,251.05,253.42,224.341M
3/26/20,249.52,262.8,249.05,261.2,257.633M
3/25/20,244.87,256.35,239.75,246.79,299.43M
3/24/20,234.42,244.1,233.8,243.15,235.494M
3/23/20,228.19,229.6833,218.26,222.95,326.025M
3/20/20,242.53,244.47,228.5,228.8,347.159M
3/19/20,239.25,247.38,232.22,240.51,289.322M
3/18/20,236.25,248.37,228.02,240,327.597M
3/17/20,245.04,256.17,237.07,252.8,262.07M
3/16/20,241.18,256.9,237.36,239.85,297.24M
3/13/20,263.09,271.4754,248.5237,269.32,329.566M
3/12/20,256,266.66,247.68,248.11,392.221M
3/11/20,280.7,281.94,270.88,274.36,256.417M
3/10/20,284.64,288.52,273.5,288.42,276.444M
3/9/20,275.3,284.19,273.45,274.23,309.417M
3/6/20,293.15,298.78,290.23,297.46,228.667M
3/5/20,304.98,308.47,300.01,302.46,186.367M
3/4/20,306.12,313.1,303.33,312.86,176.613M
3/3/20,309.5,313.84,297.57,300.24,300.139M
3/2/20,298.21,309.16,294.46,309.09,238.704M
2/28/20,288.7,297.892,285.54,296.26,385.764M
2/27/20,305.46,311.5637,297.51,297.51,284.353M
2/26/20,314.18,318.11,310.7,311.5,194.774M
2/25/20,323.94,324.61,311.69,312.65,218.913M
2/24/20,323.14,333.5623,321.24,322.42,161.088M
2/21/20,335.47,335.81,332.58,333.48,113.788M
2/20/20,337.7423,338.64,333.6817,336.95,74.163M
2/19/20,337.79,339.08,337.48,338.34,48.815M
2/18/20,336.51,337.6677,335.21,336.73,57.343M
2/14/20,337.51,337.73,336.2,337.6,64.582M
2/13/20,335.8621,338.12,335.56,337.06,54.502M
2/12/20,336.83,337.65,336.43,337.42,43.993M
2/11/20,336.16,337.02,334.684,335.26,54.865M
2/10/20,331.23,334.75,331.19,334.68,42.07M
2/7/20,332.82,333.9941,331.6,332.2,64.139M
2/6/20,333.91,334.19,332.8,333.98,50.36M
2/5/20,332.27,333.09,330.67,332.86,65.951M
2/4/20,328.07,330.01,327.72,329.06,62.573M
2/3/20,323.35,326.16,323.22,324.12,69.242M
1/31/20,327,327.17,320.73,321.73,113.846M
1/30/20,324.36,327.91,323.54,327.68,75.492M
1/29/20,328.38,328.63,326.4,326.62,54.041M
1/28/20,325.06,327.85,323.6038,326.89,63.834M
1/27/20,323.03,325.12,322.66,323.5,84.062M
1/24/20,332.44,332.53,327.36,328.77,87.578M
1/23/20,330.63,332.1682,329.41,331.72,51.963M
1/22/20,332.24,332.95,331.17,331.34,48.915M
1/21/20,330.9,332.18,330.82,331.3,77.742M
1/17/20,331.7,332.18,330.8539,331.95,95.846M
1/16/20,329.7,330.92,329.45,330.92,54.05M
1/15/20,327.35,329.02,327.26,328.19,72.057M
1/14/20,327.47,328.62,326.844,327.45,63.036M
1/13/20,326.39,327.96,325.92,327.95,47.262M
1/10/20,327.2899,327.46,325.2,325.71,53.057M
1/9/20,326.16,326.73,325.52,326.65,48.57M
1/8/20,322.94,325.78,322.67,324.45,68.434M
1/7/20,323.02,323.54,322.24,322.73,42.855M
1/6/20,320.49,323.73,320.36,323.64,55.762M
1/3/20,321.16,323.64,321.1,322.41,77.783M
1/2/20,323.54,324.89,322.53,324.87,59.254M
12/31/19,320.53,322.13,320.15,321.86,57.107M
12/30/19,322.95,323.1,320.55,321.08,49.783M
12/27/19,323.74,323.8,322.28,322.86,42.555M
12/26/19,321.65,322.95,321.64,322.94,31.024M
12/24/19,321.47,321.52,320.9,321.23,20.27M
12/23/19,321.59,321.65,321.06,321.22,53.016M
12/20/19,320.46,321.9742,319.3873,320.73,149.338M
12/19/19,319.8,320.98,319.5246,320.9,85.388M
12/18/19,320,320.25,319.53,319.59,48.2M
12/17/19,319.92,320.25,319.48,319.57,61.132M
12/16/19,319.22,320.15,317.2542,319.5,82.836M
12/13/19,316.87,318.67,316.02,317.32,81.546M
12/12/19,314.43,317.99,314.17,317.13,96.586M
12/11/19,314.03,314.7,313.4393,314.42,53.521M
12/10/19,313.82,314.55,312.81,313.53,53.107M
12/9/19,314.44,315.18,313.8,313.88,34.904M
12/6/19,314.12,315.31,314.11,314.87,48.957M
12/5/19,312.23,312.25,310.58,312.02,40.782M
12/4/19,310.7,312.12,310.32,311.46,49.19M
12/3/19,308.65,309.64,307.13,309.55,75.173M
12/2/19,314.59,314.66,311.17,311.64,76.11M
11/29/19,314.86,315.13,314.06,314.31,36.593M
11/27/19,314.61,315.48,314.37,315.48,44.793M
11/26/19,313.41,314.28,313.06,314.08,37.728M
11/25/19,311.98,313.37,311.98,313.37,48.763M
11/22/19,311.09,311.24,309.85,310.96,44.85M
11/21/19,310.89,311.01,309.39,310.27,54.665M
11/20/19,311.28,311.85,309.06,310.77,79.696M
11/19/19,312.68,312.69,311.22,311.93,67.928M
11/18/19,311.53,312.28,311.03,312.02,49.328M
11/15/19,311.02,311.84,310.26,311.79,62.706M
11/14/19,308.79,309.64,308.09,309.55,52.002M
11/13/19,307.91,309.54,307.66,309.1,54.459M
11/12/19,308.75,309.99,308.15,309,46.485M
11/11/19,307.42,308.54,307.27,308.35,35.935M
11/8/19,307.8,309.0036,307.03,308.94,49.069M
11/7/19,308.57,309.65,307.66,308.18,54.272M
11/6/19,307.03,307.4,306.06,307.1,46.487M
11/5/19,307.59,307.9195,306.71,307.03,42.933M
11/4/19,307.85,308,306.96,307.37,60.607M
11/1/19,304.92,306.19,304.74,306.14,71.142M
10/31/19,304.13,304.13,301.73,303.33,69.054M
10/30/19,303.43,304.55,301.99,304.14,49.644M
10/29/19,303,304.23,302.86,303.21,44.285M
10/28/19,302.94,303.85,302.91,303.3,42.147M
10/25/19,299.74,302.2,299.6806,301.6,45.205M
10/24/19,300.91,301.07,299.4601,300.37,35.857M
10/23/19,298.73,299.94,298.495,299.88,34.992M
10/22/19,300.58,300.9,298.91,299.01,49.126M
10/21/19,299.42,300.21,298.935,299.99,39.461M
10/18/19,298.69,299.395,296.99,297.97,64.338M
10/17/19,299.68,300.24,298.515,299.28,46.785M
10/16/19,298.37,299.16,297.92,298.4,50.564M
10/15/19,297.1,299.7,296.97,298.88,47.832M
10/14/19,295.93,296.67,295.57,295.95,40.547M
10/11/19,296.27,298.74,296.1448,296.28,101.229M
10/10/19,291.18,294.21,291,293.24,57.256M
10/9/19,290.75,292.3,288.6559,291.27,65.707M
10/8/19,291.04,291.85,288.49,288.53,101.575M
10/7/19,293.47,295.26,292.77,293.08,60.657M
10/4/19,291.14,294.63,290.82,294.35,66.701M
10/3/19,287.81,290.45,284.82,290.42,85.907M
10/2/19,291.5,291.51,286.64,288.06,124.524M
10/1/19,297.74,298.455,293,293.24,89.9M
9/30/19,295.97,297.55,295.92,296.77,52.563M
9/27/19,297.83,297.9465,293.69,295.4,84.781M
9/26/19,297.63,297.86,295.45,297,58.722M
9/25/19,295.96,298.11,294.33,297.62,73.434M
9/24/19,299.41,299.84,294.81,295.87,97.368M
9/23/19,297.55,299,297.27,298.21,47.541M
9/20/19,300.36,300.67,297.41,298.28,97.456M
9/19/19,301.53,302.63,300.7103,301.08,78.099M
9/18/19,300.49,301.22,298.24,301.1,74.192M
9/17/19,299.94,301.02,299.75,300.92,42.904M
9/16/19,299.84,301.1378,299.45,300.16,58.191M
9/13/19,301.78,302.17,300.68,301.09,62.105M
9/12/19,301.25,302.46,300.41,301.29,72.909M
9/11/19,298.47,300.34,297.75,300.25,68.821M
9/10/19,297.36,298.2,295.97,298.13,57.947M
9/9/19,299.14,299.24,297.16,298.2,51.26M
9/6/19,298.17,298.76,297.42,298.05,49.584M
9/5/19,296.79,298.83,294.001,297.82,83.357M
9/4/19,293.14,294.055,292.31,294.04,47.004M
9/3/19,290.57,291.58,289.27,290.74,69.232M
8/30/19,294.22,294.2399,291.42,292.45,62.962M
8/29/19,291.72,293.16,290.61,292.58,57.999M
8/28/19,286.14,289.07,285.25,288.89,59.852M
8/27/19,289.54,289.95,286.03,286.87,68.263M
8/26/19,287.27,288,285.58,288,72.621M
8/23/19,290.92,292.76,283.47,284.85,149.318M
8/22/19,293.23,293.93,290.4,292.36,51.739M
8/21/19,292.48,292.86,291.72,292.45,49.723M
8/20/19,291.77,292.36,289.95,290.09,51.653M
8/19/19,292.19,293.08,291.44,292.33,53.64M
8/16/19,286.48,289.33,284.7138,288.85,85.825M
8/15/19,284.88,285.64,282.39,284.65,101.93M
8/14/19,288.07,292.4644,283.76,283.9,135.622M
8/13/19,287.74,294.15,287.36,292.55,94.793M
8/12/19,289.96,291.6052,287.02,288.07,65.528M
8/9/19,292.58,293.24,289.65,291.62,93.73M
8/8/19,289.62,293.62,289.01,293.62,87.714M
8/7/19,284.4,288.82,282.04,287.97,140.572M
8/6/19,285.91,288.04,284.28,287.8,120.712M
8/5/19,288.09,288.21,281.72,283.82,178.745M
8/2/19,293.85,294.12,290.9,292.62,116.75M
8/1/19,297.6,300.87,293.96,294.84,142.647M
7/31/19,300.99,301.2,295.2,297.43,104.245M
7/30/19,299.91,301.17,299.49,300.72,45.849M
7/29/19,301.88,301.93,300.85,301.46,38.126M
7/26/19,300.76,302.23,300.62,302.01,45.084M
7/25/19,300.94,301,299.11,300,55.394M
7/24/19,299.19,301.44,299.09,301.44,47.213M
7/23/19,299.14,300.03,298.22,300.03,44.658M
7/22/19,297.61,298.5,297.04,297.9,43.687M
7/19/19,300.04,300.07,296.96,297.17,71.081M
7/18/19,297.19,299.25,296.7,298.83,51.702M
7/17/19,299.75,299.93,297.74,297.74,44.102M
7/16/19,300.65,300.88,299.44,299.71,40.568M
7/15/19,301.13,301.13,300.19,300.75,33.91M
7/12/19,299.85,300.73,299.51,300.65,40.354M
7/11/19,299.32,299.58,298.2,299.31,50.889M
7/10/19,298.37,299.66,297.78,298.61,58.596M
7/9/19,295.54,297.52,295.48,297.19,41.101M
7/8/19,297.01,298.2579,296.22,296.82,45.842M
7/5/19,297.44,298.64,296.01,298.46,51.677M
7/3/19,297.18,298.82,297.02,298.8,40.899M
7/2/19,295.61,296.49,294.68,296.43,61.505M
7/1/19,296.68,296.92,294.33,295.66,79.118M
6/28/19,292.58,293.55,292.01,293,59.351M
6/27/19,291.31,292.06,290.89,291.5,40.355M
6/26/19,291.75,292.31,290.345,290.47,51.585M
6/25/19,293.7,293.73,290.64,290.76,82.029M
6/24/19,294.23,294.58,293.47,293.64,47.583M
6/21/19,294.13,295.52,293.76,294,83.309M
6/20/19,296.04,296.3093,293.1255,295.86,116.57M
6/19/19,292.55,293.65,291.47,293.06,78.674M
6/18/19,291.39,293.57,290.99,292.4,85.435M
6/17/19,289.52,290.22,289.18,289.37,39.206M
6/14/19,289.26,289.93,288.41,289.26,52.325M
6/13/19,289.4,289.98,288.62,289.58,48.945M
6/12/19,288.64,289.26,287.815,288.39,47.096M
6/11/19,290.99,291.4,288.1805,288.9,58.641M
6/10/19,289.37,290.82,288.8734,288.97,60.799M
6/7/19,285.93,288.85,285.74,287.65,74.272M
6/6/19,283.29,285.55,282.57,284.8,69.43M
6/5/19,282.33,282.99,280.32,282.96,71.17M
6/4/19,277.12,280.68,276.62,280.53,77.232M
6/3/19,275.31,276.5521,273.09,274.57,96.428M
5/31/19,276.2,277.12,275.24,275.27,86.863M
5/30/19,279.11,280.04,277.805,279.03,62.524M
5/29/19,278.91,279.36,276.71,278.27,104.973M
5/28/19,283.09,284.15,280.13,280.15,70.029M
5/24/19,283.74,284.2,282.09,282.78,55.268M
5/23/19,283.16,283.21,280.57,282.14,98.734M
5/22/19,285.45,286.69,285.1,285.63,49.482M
5/21/19,285.83,286.93,285.55,286.51,46.847M
5/20/19,284.06,285.43,283.12,283.95,62.878M
5/17/19,285.14,288.6,285.1207,285.84,100.353M
5/16/19,285.84,289.21,285.76,287.7,76.75M
5/15/19,281.59,285.77,281.36,285.06,73.956M
5/14/19,281.99,285.1,281.85,283.4,77.003M
5/13/19,282.42,283.49,279.93,280.86,127.291M
5/10/19,285.62,288.94,282.3,288.1,112.429M
5/9/19,285.23,287.33,283.3,286.66,103.471M
5/8/19,287.53,289.43,286.87,287.53,91.568M
5/7/19,290.15,290.81,285.81,287.93,144.73M
5/6/19,289.25,293.31,288.9,292.82,107.198M
5/3/19,292.82,294.34,291.2998,294.03,56.544M
5/2/19,291.68,292.7,289.52,291.18,65.03M
5/1/19,294.72,294.95,291.8,291.81,71.672M
4/30/19,293.49,294.34,291.92,294.02,81.112M
4/29/19,293.51,294.45,293.41,293.87,57.198M
4/26/19,292.1,293.49,291.2401,293.41,50.916M
4/25/19,292.12,292.78,290.73,292.05,57.771M
4/24/19,292.79,293.16,292.07,292.23,50.393M
4/23/19,290.68,293.14,290.42,292.88,52.247M
4/22/19,289.17,290.435,289.07,290.27,40.16M
4/18/19,290.1,290.32,288.66,290.02,68.709M
4/17/19,291.4,291.425,288.99,289.45,58.268M
4/16/19,290.95,291.01,289.5,290.16,52.153M
4/15/19,290.24,290.35,289.075,289.97,49.597M
4/12/19,290,290.47,288.261,290.16,69.728M
4/11/19,288.83,288.84,287.578,288.21,55.093M
4/10/19,287.77,288.3899,287.31,288.29,52.602M
4/9/19,287.72,288.08,286.7,287.31,66.142M
4/8/19,288.1,288.91,287.37,288.79,53.566M
4/5/19,287.92,288.63,287.6,288.57,58.622M
4/4/19,286.78,287.459,286.01,287.18,48.998M
4/3/19,287.32,287.76,285.75,286.42,68.243M
4/2/19,286.04,286.23,285.09,285.97,40.07M
4/1/19,284.7,286.16,284.4,285.83,77.618M
3/29/19,282.39,282.84,281.14,282.48,82.187M
3/28/19,280.35,281.21,279.07,280.71,56.239M
3/27/19,281.11,281.76,277.93,279.65,72.225M
3/26/19,280.99,282.18,279.56,281.12,68.126M
3/25/19,278.87,280.1853,277.64,279.04,85.575M
3/22/19,283.22,283.8034,279.18,279.25,122.659M
3/21/19,280.64,285.18,280.59,284.73,79.55M
3/20/19,282.16,283.5,280.32,281.55,84.609M
3/19/19,283.51,284.36,281.41,282.4,90.268M
3/18/19,281.55,282.66,281.3,282.33,62.2M
3/15/19,280.54,282.21,280.33,281.31,81.309M
3/14/19,281.37,281.84,280.6662,281.16,67.518M
3/13/19,280.48,282.38,280.3,281.34,80.639M
3/12/19,279.06,280.07,278.85,279.49,79.668M
3/11/19,275.26,278.62,275.23,278.44,65.099M
3/8/19,272.94,274.65,272.42,274.46,85.796M
3/7/19,276.83,276.99,274.07,275.01,94.885M
3/6/19,279.15,279.16,276.97,277.33,75.04M
3/5/19,279.54,279.76,278.41,279.02,59.115M
3/4/19,281.6,281.87,276.84,279.4,106.495M
3/1/19,280.44,280.88,278.82,280.42,78.881M
2/28/19,278.96,279.45,278.32,278.68,69.268M
2/27/19,278.52,279.59,277.48,279.2,56.922M
2/26/19,279.13,280.3,278.9,279.32,56.844M
2/25/19,280.73,281.31,279.43,279.52,69.031M
2/22/19,278.11,279.36,277.4029,279.14,78.115M
2/21/19,277.7,278.1,276.345,277.42,64.215M
2/20/19,277.81,278.92,277.25,278.41,76.611M
2/19/19,276.4813,278.58,276.47,277.85,59.121M
2/15/19,276.36,277.41,276.13,277.37,97.089M
2/14/19,273.78,275.64,272.87,274.38,83.234M
2/13/19,275.03,275.93,274.56,274.99,65.277M
2/12/19,272.42,274.52,272.34,274.1,72.27M
2/11/19,271.2,271.49,270.03,270.62,68.021M
2/8/19,268.75,270.58,267.83,270.47,75.789M
2/7/19,270.94,271.55,268.29,270.14,95.482M
2/6/19,272.79,273.34,271.92,272.74,58.348M
2/5/19,272.44,273.44,271.88,273.1,79.553M
2/4/19,270.11,272.03,269.36,271.96,60.745M
2/1/19,270.15,271.2,269.18,270.06,85.783M
1/31/19,267.51,270.47,267.27,269.93,104.012M
1/30/19,265.1,268.52,264.25,267.58,92.474M
1/29/19,263.92,264.55,262.48,263.41,66.136M
1/28/19,263.39,263.83,261.79,263.76,85.614M
1/25/19,265.61,266.7,263.6595,265.78,96.883M
1/24/19,263.21,264.2,262.08,263.55,59.204M
1/23/19,264.01,264.79,260.66,263.41,86.03M
1/22/19,264.82,265.06,261.06,262.86,115.531M
1/18/19,264.98,266.98,262.998,266.46,127.9M
1/17/19,260.01,263.92,259.96,262.96,96.118M
1/16/19,260.83,261.9666,260.6,260.98,77.637M
1/15/19,257.82,260.7,257.81,260.35,85.208M
1/14/19,256.86,258.3,256.41,257.4,70.908M
1/11/19,257.68,259.0098,257.03,258.98,73.858M
1/10/19,256.26,259.16,255.5,258.88,96.824M
1/9/19,257.56,258.91,256.19,257.97,95.007M
1/8/19,256.82,257.31,254,256.77,102.513M
1/7/19,252.69,255.95,251.69,254.38,103.139M
1/4/19,247.59,253.11,247.17,252.39,142.629M
1/3/19,248.23,248.57,243.67,244.21,144.141M
1/2/19,245.98,251.21,245.95,250.18,126.925M
12/31/18,249.56,250.19,247.47,249.92,144.299M
12/28/18,249.58,251.4,246.45,247.75,153.1M
12/27/18,242.57,248.29,238.96,248.07,186.267M
12/26/18,235.97,246.18,233.76,246.18,218.485M
12/24/18,239.04,240.8355,234.27,234.34,147.312M
12/21/18,246.74,249.71,239.98,240.7,255.346M
12/20/18,249.86,251.62,244.65,247.17,252.053M
12/19/18,255.17,259.4,249.35,251.26,214.993M
12/18/18,257.2,257.95,253.28,255.08,134.515M
12/17/18,259.4,260.65,253.525,255.36,165.492M
12/14/18,262.96,264.03,259.85,260.47,116.961M
12/13/18,266.52,267.49,264.12,265.37,96.663M
12/12/18,267.47,269,265.37,265.46,97.977M
12/11/18,267.66,267.87,262.48,264.13,121.504M
12/10/18,263.37,265.1613,258.62,264.07,151.446M
12/7/18,269.46,271.22,262.63,263.57,161.019M
12/6/18,265.92,269.97,262.44,269.84,204.185M
12/4/18,278.37,278.85,269.9,270.25,177.986M
12/3/18,280.28,280.4,277.505,279.3,103.018M
11/30/18,273.81,276.28,273.45,275.65,98.204M
11/29/18,273.71,275.55,272.43,273.98,82.346M
11/28/18,269.6,274.58,268.3272,274.58,127.63M
11/27/18,266.34,268.4,265.66,268.4,75.502M
11/26/18,265.78,267.75,265.34,267.5,79.981M
11/23/18,263.18,264.8234,263.07,263.25,42.808M
11/21/18,265.86,267.15,265.01,265.02,75.564M
11/20/18,265.36,267,263.15,264.12,136.021M
11/19/18,273.05,273.38,268.07,269.1,103.062M
11/16/18,271.79,274.75,271.21,273.73,126.668M
11/15/18,268.78,273.54,267.0102,273.02,135.101M
11/14/18,274.16,274.61,268.45,270.2,125.336M
11/13/18,273.09,275.325,271.25,272.06,98.177M
11/12/18,277.19,277.46,271.99,272.57,99.674M
11/9/18,279.03,279.24,276.18,277.76,98.813M
11/8/18,280.11,281.22,279.22,280.5,65.585M
11/7/18,277.56,281.1,277.08,281.01,102.752M
11/6/18,273.32,275.3,273.25,275.12,60.086M
11/5/18,272.44,274.01,271.35,273.39,65.622M
11/2/18,274.75,275.23,269.59,271.89,122.634M
11/1/18,271.6,273.73,270.38,273.51,99.495M
10/31/18,270.65,273.23,270.12,270.63,128.296M
10/30/18,263.67,268.12,263.12,267.77,157.116M
10/29/18,268.8,270.25,259.85,263.86,160.749M
10/26/18,265.92,271,262.29,265.33,201.575M
10/25/18,267.38,271.81,266.23,270.08,138.062M
10/24/18,273.33,273.76,264.7,265.32,177.807M
10/23/18,270.95,274.87,268.61,273.61,146.353M
10/22/18,277,277.36,274.41,275.01,82.416M
10/19/18,277.13,279.3,275.47,276.25,139.902M
10/18/18,279.4,280.07,274.97,276.4,134.558M
10/17/18,280.44,281.15,277.56,280.45,110.626M
10/16/18,276.6,280.82,276.07,280.4,118.256M
10/15/18,275.55,277.04,274.3,274.4,102.264M
10/12/18,276.77,277.09,272.37,275.95,183.186M
10/11/18,277.08,278.9,270.36,272.17,274.84M
10/10/18,286.83,286.91,277.88,278.3,214.731M
10/9/18,287.39,288.86,286.77,287.4,74.339M
10/8/18,287.05,288.22,285.5,287.82,87.742M
10/5/18,289.69,290.27,286.22,287.82,105.952M
10/4/18,291.18,291.24,287.66,289.44,111.546M
10/3/18,292.74,293.21,291.32,291.72,64.695M
10/2/18,291.56,292.355,291.14,291.56,47.258M
10/1/18,292.11,292.93,290.98,291.73,62.079M
9/28/18,289.99,291.28,289.95,290.72,70.091M
9/27/18,290.41,291.91,290.1,290.69,59.249M
9/26/18,290.91,292.24,289.41,289.88,79.74M
9/25/18,291.53,291.65,290.4833,290.75,44.37M
9/24/18,291.34,291.5,290.37,291.02,53.41M
9/21/18,293.09,293.22,291.81,291.99,105.48M
9/20/18,292.64,293.94,291.2363,293.58,100.361M
9/19/18,290.97,291.69,290.825,291.22,49.081M
9/18/18,289.58,291.58,289.55,290.91,61.93M
9/17/18,290.82,290.86,289.03,289.34,68.244M
9/14/18,291.06,291.27,290,290.88,55.08M
9/13/18,290.32,291.0384,289.995,290.83,51.034M
9/12/18,289.06,289.8,288.23,289.12,59.811M
9/11/18,287.37,289.55,286.975,289.05,50.53M
9/10/18,288.74,289.04,287.88,288.1,50.211M
9/7/18,286.98,288.7,286.71,287.6,73.525M
9/6/18,289.15,289.49,287,288.16,65.91M
9/5/18,289.41,289.64,287.89,289.03,72.452M
9/4/18,289.84,290.21,288.68,289.81,57.594M
8/31/18,289.84,290.81,289.29,290.31,66.141M
8/30/18,290.94,291.36,289.63,290.3,61.23M
8/29/18,290.16,291.74,289.8854,291.48,61.486M
8/28/18,290.3,290.4175,289.4,289.92,46.943M
8/27/18,288.86,289.9,288.68,289.78,57.072M
8/24/18,286.44,287.67,286.38,287.51,57.487M
8/23/18,285.97,286.94,285.43,285.79,49.205M
8/22/18,285.88,286.76,285.575,286.17,44.993M
8/21/18,286.25,287.31,285.7135,286.34,67.272M
8/20/18,285.57,285.97,285.06,285.67,39.807M
8/17/18,283.83,285.5601,283.37,285.06,65.618M
8/16/18,283.4,285.04,283.36,284.06,69.968M
8/15/18,282.38,282.54,280.16,281.78,102.925M
8/14/18,282.92,284.17,282.4833,283.9,43.842M
8/13/18,283.47,284.16,281.77,282.1,65.733M
8/10/18,283.45,284.055,282.36,283.16,77.076M
8/9/18,285.53,285.97,284.915,285.07,35.717M
8/8/18,285.39,285.91,284.94,285.46,42.115M
8/7/18,285.39,286.01,285.24,285.58,43.197M
8/6/18,283.64,284.99,283.2015,284.64,39.401M
8/3/18,282.53,283.6577,282.33,283.6,53.935M
8/2/18,279.39,282.58,279.16,282.39,63.426M
8/1/18,281.56,282.13,280.1315,280.86,53.853M
7/31/18,280.81,282.02,280.38,281.33,68.57M
7/30/18,281.51,281.69,279.36,279.95,63.743M
7/27/18,283.71,283.82,280.38,281.42,76.783M
7/26/18,283.2,284.11,283.09,283.34,57.919M
7/25/18,281.33,284.37,281.28,284.01,78.883M
7/24/18,281.79,282.56,280.63,281.61,68.027M
7/23/18,279.45,280.43,279.06,280.2,47.048M
7/20/18,279.77,280.48,279.5,279.68,82.373M
7/19/18,280.31,280.74,279.46,280,61.412M
7/18/18,280.56,281.18,280.06,281.06,44.593M
7/17/18,278.47,280.91,278.41,280.47,52.316M
7/16/18,279.64,279.803,278.84,279.34,48.201M
7/13/18,279.17,279.93,278.66,279.59,48.235M
7/12/18,278.28,279.43,277.6,279.37,60.125M
7/11/18,277.15,278.04,276.52,276.86,77.055M
7/10/18,278.41,279.01,278.08,278.9,51.967M
7/9/18,276.55,277.96,276.5,277.9,50.55M
7/6/18,273.14,275.84,272.715,275.42,66.494M
7/5/18,272.17,273.18,270.96,273.11,56.926M
7/3/18,272.87,272.98,270.42,270.9,42.187M
7/2/18,269.51,272.04,269.24,271.86,63.555M
6/29/18,272.12,273.66,271.1495,271.28,97.592M
6/28/18,269.29,271.75,268.49,270.89,76.651M
6/27/18,272.26,273.865,269.18,269.35,105.111M
6/26/18,271.64,272.56,270.79,271.6,68.683M
6/25/18,273.44,273.6162,269.1,271,137.854M
6/22/18,275.66,275.785,274.49,274.74,56.612M
6/21/18,275.96,275.98,273.68,274.24,71.061M
6/20/18,276.27,276.72,275.59,275.97,53.785M
6/19/18,274,275.75,273.53,275.5,97.532M
6/18/18,275.49,276.7,274.95,276.56,52.918M
6/15/18,276.6,277.51,275.35,277.13,120.042M
6/14/18,279.01,279.33,278.0599,278.73,77.098M
6/13/18,279.19,279.48,277.8,278.03,79.071M
6/12/18,279.03,279.33,278.19,278.92,72.329M
6/11/18,278.44,279.37,278.31,278.56,58.893M
6/8/18,276.85,278.25,276.66,278.19,72.14M
