date,open,high,low,close,volume
6/26/20,306.16,306.39,299.42,300.05,127.961M
6/25/20,303.47,307.64,301.28,307.35,89.468M
6/24/20,309.84,310.51,302.1,304.09,132.813M
6/23/20,313.49,314.5,311.6101,312.05,68.471M
6/22/20,307.99,311.05,306.75,310.62,74.649M
6/19/20,314.17,314.38,306.53,308.64,135.55M
6/18/20,310.005,312.3,309.51,311.78,80.829M
6/17/20,314.07,314.39,310.86,311.66,83.399M
6/16/20,315.48,315.64,307.67,312.96,137.628M
6/15/20,298.02,308.28,296.74,307.05,135.783M
6/12/20,308.24,309.08,298.6,304.21,194.679M
6/11/20,311.46,312.15,300.01,300.61,209.244M
6/10/20,321.42,322.39,318.2209,319,95.001M
6/9/20,320.3,323.2849,319.36,320.79,77.479M
6/8/20,320.22,323.41,319.63,323.2,73.641M
6/5/20,317.23,321.275,317.16,319.34,150.525M
6/4/20,311.11,313,309.08,311.36,75.794M
6/3/20,310.24,313.22,309.94,312.18,92.568M
6/2/20,306.55,308.13,305.1,308.08,74.267M
6/1/20,303.62,306.205,303.06,305.55,56.78M
5/29/20,302.46,304.96,299.47,304.32,119.266M
5/28/20,304.65,306.84,302.24,302.97,90.768M
5/27/20,302.12,303.57,296.87,303.53,104.817M
5/26/20,301.93,302.19,295.4646,299.08,88.951M
5/22/20,294.57,295.63,293.22,295.44,63.958M
5/21/20,296.79,297.67,293.6886,294.88,78.294M
5/20/20,295.82,297.87,295.57,296.93,85.862M
5/19/20,294.35,296.205,291.95,291.97,95.189M
5/18/20,293.05,296.75,292.7,295,120.32M
5/15/20,282.37,286.33,281.34,286.28,111.146M
5/14/20,278.95,285.11,272.99,284.97,121.978M
5/13/20,286.06,287.19,278.965,281.6,144.721M
5/12/20,293.79,294.24,286.52,286.67,95.871M
5/11/20,290.34,294,289.88,292.5,79.514M
5/8/20,291.09,292.95,289.86,292.44,76.622M
5/7/20,287.75,289.78,287.13,287.68,75.25M
5/6/20,288.04,288.46,283.78,284.25,73.633M
5/5/20,286.64,289.25,283.7134,286.19,79.57M
5/4/20,280.74,283.9,279.13,283.57,80.873M
